Instance	nbAct	nbRes	dist		UB	OS	NC	RF	RS	ConsRS	DR	NFS	AVCARDFS	NFSU	AVCARDFSU
j07.rcp		9	2	1306365		0	2.2	0	0.5	1	0.8	1	0	0		0	0
j3010_10.rcp	32	4	2041260542	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3010_1.rcp	32	4	722065888	0	2.1	0	0.76	1	0.7	1	0	0		0	0
j3010_2.rcp	32	4	749233152	0	2.1	0	0.76	1	0.77	1	0	0		0	0
j3010_3.rcp	32	4	1813145472	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3010_4.rcp	32	4	1824084870	0	2.1	0	0.76	1	0.77	1	0	0		0	0
j3010_5.rcp	32	4	1777612888	0	2.1	0	0.76	1	0.97	1	0	0		0	0
j3010_6.rcp	32	4	846590832	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3010_7.rcp	32	4	845742659	0	2.1	0	0.76	1	0.9	1	0	0		0	0
j3010_8.rcp	32	4	1578917376	0	2.1	0	0.76	1	0.97	1	0	0		0	0
j3010_9.rcp	32	4	1742135040	0	2.1	0	0.76	1	0.73	1	0	0		0	0
j301_10.rcp	32	4	1740082176	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3011_10.rcp	32	4	2018530584	0	2.1	0	0.76	1	0.9	1	0	0		0	0
j3011_1.rcp	32	4	849435120	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3011_2.rcp	32	4	1900225008	0	2.1	0	0.76	1	0.73	1	0	0		0	0
j3011_3.rcp	32	4	2028956445	0	2.1	0	0.76	1	0.8	1	0	0		0	0
j3011_4.rcp	32	4	1772041704	0	2.1	0	0.76	1	0.77	1	0	0		0	0
j3011_5.rcp	32	4	1888627801	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3011_6.rcp	32	4	1707111532	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3011_7.rcp	32	4	1779877162	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3011_8.rcp	32	4	1810626048	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3011_9.rcp	32	4	1575480144	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j301_1.rcp	32	4	758069062	0	2.1	0	0.25	1	0.93	1	0	0		0	0
j3012_10.rcp	32	4	1938679335	0	2.1	0	0.76	1	0.8	1	0	0		0	0
j3012_1.rcp	32	4	2118897792	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3012_2.rcp	32	4	1829102622	0	2.1	0	0.76	1	0.9	1	0	0		0	0
j3012_3.rcp	32	4	2112684954	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3012_4.rcp	32	4	1985296267	0	2.1	0	0.76	1	0.93	1	0	0		0	0
j3012_5.rcp	32	4	1955284616	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3012_6.rcp	32	4	2006851632	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3012_7.rcp	32	4	2093962284	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3012_8.rcp	32	4	1528461648	0	2.1	0	0.76	1	0.77	1	0	0		0	0
j3012_9.rcp	32	4	1798492896	0	2.1	0	0.76	1	0.8	1	0	0		0	0
j301_2.rcp	32	4	1747887422	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3013_10.rcp	32	4	734179248	0	2.1	0	1	1	0.83	1	0	0		0	0
j3013_1.rcp	32	4	1967663716	0	2.1	0	1	1	0.83	1	0	0		0	0
j3013_2.rcp	32	4	727910496	0	2.1	0	1	1	0.93	1	0	0		0	0
j3013_3.rcp	32	4	423841248	0	2.1	0	1	1	0.93	1	0	0		0	0
j3013_4.rcp	32	4	1817811292	0	2.1	0	1	1	0.77	1	0	0		0	0
j3013_5.rcp	32	4	2026634082	0	2.1	0	1	1	0.9	1	0	0		0	0
j3013_6.rcp	32	4	1865483150	0	2.1	0	1	1	0.83	1	0	0		0	0
j3013_7.rcp	32	4	1771435012	0	2.1	0	1	1	0.83	1	0	0		0	0
j3013_8.rcp	32	4	1789351830	0	2.1	0	1	1	0.7	1	0	0		0	0
j3013_9.rcp	32	4	1771380300	0	2.1	0	1	1	0.77	1	0	0		0	0
j301_3.rcp	32	4	1950454082	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3014_10.rcp	32	4	2039515713	0	2.1	0	1	1	0.87	1	0	0		0	0
j3014_1.rcp	32	4	1733364360	0	2.1	0	1	1	0.87	1	0	0		0	0
j3014_2.rcp	32	4	427182336	0	2.1	0	1	1	0.77	1	0	0		0	0
j3014_3.rcp	32	4	1763380743	0	2.1	0	1	1	0.83	1	0	0		0	0
j3014_4.rcp	32	4	2033787114	0	2.1	0	1	1	0.8	1	0	0		0	0
j3014_5.rcp	32	4	1927420642	0	2.1	0	1	1	1	1	0	0		0	0
j3014_6.rcp	32	4	1910726542	0	2.1	0	1	1	0.87	1	0	0		0	0
j3014_7.rcp	32	4	1747914172	0	2.1	0	1	1	0.83	1	0	0		0	0
j3014_8.rcp	32	4	1780631748	0	2.1	0	1	1	0.8	1	0	0		0	0
j3014_9.rcp	32	4	1765066461	0	2.1	0	1	1	0.8	1	0	0		0	0
j301_4.rcp	32	4	1884529212	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3015_10.rcp	32	4	806226408	0	2.1	0	1	1	0.83	1	0	0		0	0
j3015_1.rcp	32	4	1606860360	0	2.1	0	1	1	0.8	1	0	0		0	0
j3015_2.rcp	32	4	846620496	0	2.1	0	1	1	0.87	1	0	0		0	0
j3015_3.rcp	32	4	1536304182	0	2.1	0	1	1	0.93	1	0	0		0	0
j3015_4.rcp	32	4	1852014024	0	2.1	0	1	1	0.77	1	0	0		0	0
j3015_5.rcp	32	4	2002950018	0	2.1	0	1	1	0.73	1	0	0		0	0
j3015_6.rcp	32	4	855577728	0	2.1	0	1	1	0.87	1	0	0		0	0
j3015_7.rcp	32	4	2034901440	0	2.1	0	1	1	0.77	1	0	0		0	0
j3015_8.rcp	32	4	1696541832	0	2.1	0	1	1	0.83	1	0	0		0	0
j3015_9.rcp	32	4	704766966	0	2.1	0	1	1	0.87	1	0	0		0	0
j301_5.rcp	32	4	1700954682	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3016_10.rcp	32	4	1791424452	0	2.1	0	1	1	0.9	1	0	0		0	0
j3016_1.rcp	32	4	1847588824	0	2.1	0	1	1	0.87	1	0	0		0	0
j3016_2.rcp	32	4	706372340	0	2.1	0	1	1	0.83	1	0	0		0	0
j3016_3.rcp	32	4	2031664815	0	2.1	0	1	1	0.8	1	0	0		0	0
j3016_4.rcp	32	4	1810629576	0	2.1	0	1	1	0.83	1	0	0		0	0
j3016_5.rcp	32	4	1896879778	0	2.1	0	1	1	0.83	1	0	0		0	0
j3016_6.rcp	32	4	851587466	0	2.1	0	1	1	0.8	1	0	0		0	0
j3016_7.rcp	32	4	1822383396	0	2.1	0	1	1	0.8	1	0	0		0	0
j3016_8.rcp	32	4	2004005448	0	2.1	0	1	1	1	1	0	0		0	0
j3016_9.rcp	32	4	1761918477	0	2.1	0	1	1	0.83	1	0	0		0	0
